"ITEM","CATEGORY","AVAILABLE","PRICE","STATUS","PRODUCER","TITLE SPANISH","UNIT QUANTITY","UNIT","SCHEDULES","SEASON","IS CREDIT","PACK SEPARATELY","PACKING TYPE","MAX PER MEMBER","IMAGE URL","DESCRIPTION","LINK","WEIGHT"
"Trial Box","Share","500","25","Draft","Something GUD","","1","","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-gIJQ3HvmMNw/UgDsyR60_JI/AAAAAAAAAcw/NJ7ruoQ4Kh4/w205-h103-no/photo.jpg","Want to try Something GUD for the first time but aren't sure what to get? Our Trial Box is designed to give new customers a full landscape of our offering for cheap. For one-time purchase, our Trial Box ($50 in value) is available for $25, you will receive a full selection of offering.

",,
"Q's Nuts - RED Label - 5 Pack","Share","1000","17.45","Draft","Q's Nuts","","5","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/WPHxepslBx2XPuQRFW8YBSS5roU_G0ooRN-QDSDBDw=w400-h370-no","5 Pack of Q's Original Sweet Roast.  2.5 Oz. Bags. The perfect grab & go office snack.

The Original Sweet Roast boasts a wonderful combination of the traditional Bavarian flavors; cinnamon & vanilla.

Did You Know? Along with protein, fiber, vitamins and minerals, nuts contain ""good"" fats(mono and polyunsaturated). Scientific evidence suggests eating 1.5 oz. per day of most nuts as part of a low fat diet, can help reduce the risk of coronary heart disease.
",,
"Beer","Share","500","0","Draft","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","2","http://i1324.photobucket.com/albums/u615/FarmigoStock/Baskets%20and%20Boxes/CSA3_zps29735c83.jpg","Coming Soon",,
"All-Local Thanksgiving (Serves 2-4)","Share","50","280","Draft","Something GUD","","1","delivery","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/PfGy0SfITWs_-uj92-caAldOaOgVRRVSgnypcuev3Q=w773-h602-no","Celebrate Thanksgiving with Something GUD, Cuisine en Locale & a local turkey.

Option 1 Contents (Serves 2-4):
•	 Garlic mashed potatoes
•	 Latkes (potato, beet, carrot ginger) 
•	 Cook’s apple sauce
•	 Cranberry sauce with caramelized onions
•	 Apple sage stuffing
•	 Gravy
•	 Turkey
•	 Apple cranberry crisp 

Contact us for more info! ( info@somethinggud.com )",,
"GUD Gift Basket 1","Share","20","59.95","Draft","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-fiZ-poeqiRU/UqOQNdEewAI/AAAAAAAAAHw/B3qqp0P8sjw/w406-h541-no/Photo+Dec+07%252C+3+56+28+PM.jpg","Celebrate local food with your friends and family. Our Holiday Gift Baskets have arrived JUST barely in time for the holidays!

Gift Basket 1 Contents includes:

* Fazenda Coffee
* 3 Bags of Q's Nuts
* Deborah's Kitchen Spreadable Fruit
* Taza Oaxacan Sampler
* Cook's Homemade Granola
* Honu's Hearth Kale Chips",,
"The Football Package","Share","50","50","Draft","Something GUD","","1","box","Brooklyn Boulders: Thursday Pickup|Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh6.googleusercontent.com/-q8VAovRhGvA/UkNT7lyqBYI/AAAAAAAAAtw/bgbCP6ENjE8/w230-h129-no/the-little-giants.jpg","**NEW**

Our Football Package is available to select areas for delivery SATURDAY afternoon!

Contents Include:
* WINGS (Grouse Ridge Farm + UGLY Sauce)
* FRENCH BREAD PIZZA (Iggy's Baguettes + Red Gravy + Atwell's Gold!)

Additional Items available upon request!
",,
"Q's Nuts - EXOTICS - 5 Pack","Share","1000","17.45","Draft","Q's Nuts","","5","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/8Ao5hQ5zL_eVhl7w8dYWMWzFiNOc2YgKu4Z4o8WhXw=w475-h318-no","Mixed 5 Pack of Q's Exotic Offerings.  2.5 Oz. Bags.

Receive a randomized selection of Q's awesome naturally flavored offerings - When we say variety, we mean it - Q's has over 20 different varieties!

Did You Know? Along with protein, fiber, vitamins and minerals, nuts contain ""good"" fats(mono and polyunsaturated). Scientific evidence suggests eating 1.5 oz. per day of most nuts as part of a low fat diet, can help reduce the risk of coronary heart disease.",,
"All-Local Thanksgiving: Serves (6-8)","Share","50","450","Draft","Something GUD","","1","delivery","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/PfGy0SfITWs_-uj92-caAldOaOgVRRVSgnypcuev3Q=w773-h602-no","Celebrate Thanksgiving with Something GUD, Cuisine en Locale & a local turkey.

Option 2 Contents:
•	 Garlic mashed potatoes
•	 Latkes (potato, beet, carrot ginger) 
•	 Potato & carrot mashers
•	 Turkey Mole
•	 2X Cook's Apple Sauce
•	 2X cranberry sauce with caramelized onions
•	 2X apple sage stuffing
•	 2X gravy
•	 XL Turkey
•	 Apple cranberry crisp
•	 Pumpkin custard with crunchy maple pepita topping

Contact us for more info! ( info@somethinggud.com )
",,
"BKB: Seasonal Produce","Share","9996","25","Published","Something GUD","","1","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-FeqjOMthWjo/UkRAZsEnD5I/AAAAAAAAAuc/QMpI5FcCdgI/w205-h140-no/bkb.jpg","BKB Somerville Exclusive: Seasonal Produce Box is a weekly curation sourced with fresh local fruits and vegetables from local farms.",,
"Trial Box (One-Time Purchase)","Share","10012","45","Published","Something GUD","","1","box","Weekly","GUD Food Shares",,,"PHYSICAL","10","https://lh4.googleusercontent.com/-gIJQ3HvmMNw/UgDsyR60_JI/AAAAAAAAAc0/qLZ2E7cKYIM/w205-h103-no/photo.jpg","Our Trial Box is a heavily discounted offering designed for first time customers as an introduction to our platform!
",,
"BKB: Dairy + Bakery Box","Share","10000","25","Published","Something GUD","","1","bag","Brooklyn Boulders: Thursday Pickup","GUD Food Shares",,,"PHYSICAL","10","https://lh3.googleusercontent.com/-FeqjOMthWjo/UkRAZsEnD5I/AAAAAAAAAuc/QMpI5FcCdgI/w205-h140-no/bkb.jpg","Brooklyn Boulders Exclusive: The Dairy + Bakery Box includes Cook's Homemade Granola, 1 Pint of Sophia's Greek Yogurt, bread selection, cheese selection and a snack.",,
